Id,SalePrice
1461,166365.5916301572
1462,166365.5916301572
1463,166365.5916301572
1464,166365.5916301572
1465,166365.5916301572
1466,166365.5916301572
1467,166365.5916301572
1468,166365.5916301572
1469,166365.5916301572
1470,166365.5916301572
1471,166365.5916301572
1472,166365.5916301572
1473,166365.5916301572
1474,166365.5916301572
1475,166365.5916301572
1476,166365.5916301572
1477,166365.5916301572
1478,166365.5916301572
1479,166365.5916301572
1480,166365.5916301572
1481,166365.5916301572
1482,166365.5916301572
1483,166365.5916301572
1484,166365.5916301572
1485,166365.5916301572
1486,166365.5916301572
1487,166365.5916301572
1488,166365.5916301572
1489,166365.5916301572
1490,166365.5916301572
1491,166365.5916301572
1492,166365.5916301572
1493,166365.5916301572
1494,166365.5916301572
1495,166365.5916301572
1496,166365.5916301572
1497,166365.5916301572
1498,166365.5916301572
1499,166365.5916301572
1500,166365.5916301572
1501,166365.5916301572
1502,166365.5916301572
1503,166365.5916301572
1504,166365.5916301572
1505,166365.5916301572
1506,166365.5916301572
1507,166365.5916301572
1508,166365.5916301572
1509,166365.5916301572
1510,166365.5916301572
1511,166365.5916301572
1512,166365.5916301572
1513,166365.5916301572
1514,166365.5916301572
1515,166365.5916301572
1516,166365.5916301572
1517,166365.5916301572
1518,166365.5916301572
1519,166365.5916301572
1520,166365.5916301572
1521,166365.5916301572
1522,166365.5916301572
1523,166365.5916301572
1524,166365.5916301572
1525,166365.5916301572
1526,166365.5916301572
1527,166365.5916301572
1528,166365.5916301572
1529,166365.5916301572
1530,166365.5916301572
1531,166365.5916301572
1532,166365.5916301572
1533,166365.5916301572
1534,166365.5916301572
1535,166365.5916301572
1536,166365.5916301572
1537,166365.5916301572
1538,166365.5916301572
1539,166365.5916301572
1540,166365.5916301572
1541,166365.5916301572
1542,166365.5916301572
1543,166365.5916301572
1544,166365.5916301572
1545,166365.5916301572
1546,166365.5916301572
1547,166365.5916301572
1548,166365.5916301572
1549,166365.5916301572
1550,166365.5916301572
1551,166365.5916301572
1552,166365.5916301572
1553,166365.5916301572
1554,166365.5916301572
1555,166365.5916301572
1556,166365.5916301572
1557,166365.5916301572
1558,166365.5916301572
1559,166365.5916301572
1560,166365.5916301572
1561,166365.5916301572
1562,166365.5916301572
1563,166365.5916301572
1564,166365.5916301572
1565,166365.5916301572
1566,166365.5916301572
1567,166365.5916301572
